Ano	Gleba	broca	grupo_infestacao	amb_prod	variedade	vinhaca	solo	tch	fazenda	data_plantio	data_avaliacao	chuva	tmed	ur	etp	rad
2012	1371	3.41	MUITOALTO	A	SP89-1115	0	TRE.4	68.12	BARREIRO	17/06/2011	24/05/2012	1276.9	22.66268222	66.62335277	1281.93	6375.75
2012	1651	3.35	MUITOALTO	D	RB966928	0	LVE.6	72.01	BARREIRO	03/05/2011	01/11/2012	1633.3	22.02592896	65.7379235	1931.84	9758.06
2012	1301	3.32	MUITOALTO	B	SP86-155	681.8	LR.2	112.09	BARREIRO	26/08/2011	29/10/2012	1557.4	22.64344548	66.0887935	1614.05	7892.2
2012	1381	3.31	MUITOALTO	A	SP91-1049	860.8	LR.1	79.42	BARREIRO	02/06/2011	01/09/2012	1484.3	21.85800218	66.80786026	1583.39	8078.32
2012	1360	3.26	MUITOALTO	A	SP89-1115	0	TRE.4	75.64	BARREIRO	02/06/2011	04/06/2012	1327.3	22.39476965	67.09487805	1339.76	6735.54
2012	1356	3.09	MUITOALTO	A	CTC20	0	LVU.1	127.81	BARREIRO	30/05/2011	11/08/2012	1484.3	21.87243182	67.49009091	1508.11	7730.53
2012	1358	3.06	MUITOALTO	A	CTC7	1145.6	LVU.1	112.54	BARREIRO	02/06/2011	11/08/2012	1484.3	21.89949657	67.50709382	1501.02	7681.07
2012	1338	3	MUITOALTO	D	DIVERSAS	760.9	LVA.5	106.51	BARREIRO	01/10/2011	12/11/2012	1620.3	22.72413203	67.61195599	1520.19	7422.23
2012	1604	2.97	MUITOALTO	B	SP87-365	17.5	LR.2	64.62	BARREIRO	20/06/2011	04/09/2012	1451.1	22.03707675	66.57465011	1556.18	7875.31
2012	1374	2.96	MUITOALTO	B	RB855453	83502	LVU.2	110.02	BARREIRO	28/05/2011	12/07/2012	1461.2	22.05774272	67.88893204	1429.73	7282.63
2012	1662	2.94	MUITOALTO	B	SP81-3250	0	LVE.2	70.05	BARREIRO	27/04/2011	05/11/2012	1649.7	22.02903399	65.93291592	1962.7	9910.17
2012	1340	2.88	MUITOALTO	D	SP86-42	905.1	LVA.5	99.92	BARREIRO	01/10/2011	12/11/2012	1620.3	22.72413203	67.61195599	1520.19	7422.23
2012	1634	2.88	MUITOALTO	B	SP87-365	80.5	LR.2	71.57	BARREIRO	04/05/2011	22/10/2012	1590.5	21.92331784	65.81254647	1879.49	9531.29
2012	1392	2.87	MUITOALTO	B	RB855156	0	LR.2	97.1	BARREIRO	06/10/2011	03/07/2012	1361.8	22.87251838	71.94238971	995.54	4923.22
2012	1646	2.87	MUITOALTO	A	RB855453	0	LR.1	139.71	BARREIRO	21/04/2011	03/09/2012	1510.6	21.72090637	67.03296813	1702.02	8774.66
2012	1395	2.86	MUITOALTO	A	RB867515	0	LR.1	46.41	BARREIRO	06/10/2011	20/08/2012	1394.8	22.35126563	70.42946875	1134.96	5693.61
2012	1649	2.86	MUITOALTO	A	CTC20	0	LR.1	134.46	BARREIRO	29/05/2011	03/09/2012	1484.3	21.82345905	66.69536638	1601.1	8184.11
2012	1608	2.84	MUITOALTO	B	VIV.EXP.	0	LR.2	63.86	BARREIRO	26/07/2011	04/09/2012	1451.1	22.28136364	66.73921376	1470.33	7334.89
2012	1655	2.83	MUITOALTO	B	SP81-3250	0	LVE.2	76.74	BARREIRO	03/06/2011	06/08/2012	1484.3	21.93180974	67.6662413	1481.76	7574.54
2012	1300	2.79	MUITOALTO	B	SP80-1816	930.3	LR.2	96.79	BARREIRO	07/10/2011	29/10/2012	1522.4	22.59714653	67.73804627	1431.48	7027.52
2012	1302	2.79	MUITOALTO	A	RB855156	0	LR.1	98.22	BARREIRO	31/10/2011	09/07/2012	1188	22.71936759	72.22486166	909.07	4538.38
2012	1304	2.77	MUITOALTO	B	SP86-42	557.2	LR.2	99.56	BARREIRO	01/10/2011	10/10/2012	1486.7	22.46780585	67.76537234	1372.77	6782.99
2012	1643	2.76	MUITOALTO	C	RB855453	0	LR.2A	140.22	BARREIRO	21/04/2011	03/09/2012	1510.6	21.72090637	67.03296813	1702.02	8774.66
